30,manual-main-130237,Media-VP-CNL-PreETM,05:57:25,05:57:25,73:06:33,"",7:13:00,01:10:35,08:23:35
30,manual-main-130237,Media-VP-KBL-PreETM,06:20:23,06:20:24,21:08:28,"",7:13:00,01:10:35,08:23:35
30,manual-main-129972,Media-VP-KBL-PreETM,29:44:35,29:44:36,22:14:02,"",33:52:11,01:16:38,35:08:49
30,manual-main-129972,Media-VP-BXT-PreETM,33:52:11,33:52:11,79:13:58,"",33:52:11,01:16:38,35:08:49
30,manual-main-129972,Media-VP-CNL-PreETM,29:13:27,29:13:27,44:47:08,"",33:52:11,01:16:38,35:08:49
30,manual-main-129920,Media-Encode-KBL-PreETM,34:23:05,34:23:05,17:26:31,"",39:03:58,00:58:44,40:02:42
30,manual-main-129920,Media-Encode-CNL-PreETM,37:18:44,37:18:45,71:47:11,"",39:03:58,00:58:44,40:02:42
30,manual-main-129920,Media-CP-BXT-PreETM,32:01:03,32:01:03,335:58:55,"",39:03:58,00:58:44,40:02:42
30,manual-main-129920,Media-Decode-BXT-PreETM,36:04:56,36:04:56,188:46:16,"",39:03:58,00:58:44,40:02:42
30,manual-main-129920,Media-Decode-CNL-PreETM,38:59:12,38:59:13,48:55:32,"",39:03:58,00:58:44,40:02:42
30,manual-main-129920,Media-Encode-BXT-PreETM,38:35:38,38:35:39,81:12:56,"",39:03:58,00:58:44,40:02:42
30,manual-main-129920,Media-VP-KBL-PreETM,35:23:02,35:23:02,74:27:55,"",39:03:58,00:58:44,40:02:42
30,manual-main-129920,Media-VP-BXT-PreETM,36:12:19,36:12:19,60:52:10,"",39:03:58,00:58:44,40:02:42
30,manual-main-129913,Media-VP-KBL-PreETM,33:41:08,33:41:08,20:17:50,"",36:01:26,00:59:46,37:01:12
30,manual-main-129913,Media-Decode-CNL-PreETM,35:33:08,35:33:08,76:21:04,"",36:01:26,00:59:46,37:01:12
30,manual-main-129913,Media-Decode-BXT-PreETM,35:59:38,35:59:38,209:01:59,"",36:01:26,00:59:46,37:01:12
30,manual-main-129913,Media-VP-BXT-PreETM,35:41:39,35:41:39,67:38:40,"",36:01:26,00:59:46,37:01:12
30,manual-main-129911,Media-VP-BXT-PreETM,32:46:58,32:46:58,63:25:53,2:03:23,52:11:50,01:06:38,53:18:28
30,manual-main-129911,Media-VP-BXT-PreETM,32:46:58,32:46:58,63:25:53,9:09:48,52:11:50,01:06:38,53:18:28
30,manual-main-129911,Media-Encode-Pre-ETM-BXT-Android,41:56:29,41:56:29,16:33:49,2:03:23,52:11:50,01:06:38,53:18:28
30,manual-main-129911,Media-Encode-Pre-ETM-BXT-Android,41:56:29,41:56:29,16:33:49,9:09:48,52:11:50,01:06:38,53:18:28
30,manual-main-129911,Media-Encode-CNL-PreETM,34:02:16,47:47:11,46:54:57,2:03:23,52:11:50,01:06:38,53:18:28
30,manual-main-129911,Media-Encode-CNL-PreETM,34:02:16,47:47:11,46:54:57,9:09:48,52:11:50,01:06:38,53:18:28
30,manual-main-129911,Media-Encode-KBL-PreETM,30:59:04,30:59:05,19:19:55,2:03:23,52:11:50,01:06:38,53:18:28
30,manual-main-129911,Media-Encode-KBL-PreETM,30:59:04,30:59:05,19:19:55,9:09:48,52:11:50,01:06:38,53:18:28
30,manual-main-129911,Media-Decode-BXT-PreETM,31:21:56,48:18:07,179:53:30,2:03:23,52:11:50,01:06:38,53:18:28
30,manual-main-129911,Media-Decode-BXT-PreETM,31:21:56,48:18:07,179:53:30,9:09:48,52:11:50,01:06:38,53:18:28
30,manual-main-129911,Media-CP-BXT-PreETM,27:58:17,27:58:18,335:58:38,2:03:23,52:11:50,01:06:38,53:18:28
30,manual-main-129911,Media-CP-BXT-PreETM,27:58:17,27:58:18,335:58:38,9:09:48,52:11:50,01:06:38,53:18:28
30,manual-main-129911,Media-Decode-CNL-PreETM,33:22:05,33:22:05,71:31:01,2:03:23,52:11:50,01:06:38,53:18:28
30,manual-main-129911,Media-Decode-CNL-PreETM,33:22:05,33:22:05,71:31:01,9:09:48,52:11:50,01:06:38,53:18:28
30,manual-main-129911,Media-VP-KBL-PreETM,31:54:06,31:54:06,22:03:32,2:03:23,52:11:50,01:06:38,53:18:28
30,manual-main-129911,Media-VP-KBL-PreETM,31:54:06,31:54:06,22:03:32,9:09:48,52:11:50,01:06:38,53:18:28
30,manual-main-129907,Media-CP-BXT-PreETM,27:59:58,27:59:59,407:58:32,"",27:59:59,00:55:28,28:55:27
30,manual-main-129901,Media-CP-BXT-PreETM,27:05:23,27:05:24,311:58:53,"",51:50:05,00:59:07,52:49:12
30,manual-main-129901,Media-Decode-BXT-PreETM,29:49:10,29:49:10,285:42:55,"",51:50:05,00:59:07,52:49:12
30,manual-main-129901,Media-Decode-CNL-PreETM,31:32:30,31:32:31,73:46:12,"",51:50:05,00:59:07,52:49:12
30,manual-main-129901,Media-Encode-KBL-PreETM,29:24:55,29:24:55,17:13:20,"",51:50:05,00:59:07,52:49:12
30,manual-main-129901,Media-Encode-CNL-PreETM,32:34:39,32:34:39,43:53:20,"",51:50:05,00:59:07,52:49:12
30,manual-main-129901,Media-Encode-Pre-ETM-BXT-Android,43:25:09,43:25:09,16:42:59,"",51:50:05,00:59:07,52:49:12
30,manual-main-129901,Media-VP-BXT-PreETM,27:28:56,27:28:56,35:32:51,"",51:50:05,00:59:07,52:49:12
